rideable_type,start_station_id,number_rides,month,avg_ridetime,member_casual
classic_bike,13022,7959,7,34.49327805000619,casual
classic_bike,13022,7028,8,35.421314741035893,casual
classic_bike,13022,6531,6,34.546623794212195,casual
classic_bike,13022,5751,9,34.18362023995833,casual
classic_bike,LF-005,4531,7,26.584859854336759,casual
classic_bike,13022,4405,5,35.4821793416572,casual
docked_bike,13022,4312,7,46.811920222634434,casual
classic_bike,LF-005,3976,8,25.684859154929569,casual
classic_bike,13042,3617,7,33.978158695051121,casual
classic_bike,13300,3616,7,35.580475663716854,casual
classic_bike,13042,3609,8,34.311997783319548,casual
classic_bike,13008,3474,7,37.566493955095027,casual
classic_bike,LF-005,3460,6,27.345375722543327,casual
docked_bike,13022,2986,6,48.995981245813695,casual
classic_bike,KA1503000014,2955,10,8.06429780033839,member
classic_bike,13008,2934,8,37.323449216087255,casual
classic_bike,TA1308000001,2900,8,27.787931034482781,casual
classic_bike,LF-005,2895,9,26.074611398963732,casual
classic_bike,LF-005,2890,8,17.484083044982675,member
docked_bike,13022,2853,8,46.820539782684861,casual
classic_bike,TA1308000001,2834,7,27.942484121383135,casual
classic_bike,13042,2804,6,36.547075606276763,casual
classic_bike,13300,2801,8,36.612281328097076,casual
classic_bike,LF-005,2787,7,17.715823466092562,member
classic_bike,13300,2744,6,37.301384839650225,casual
classic_bike,TA1307000039,2715,6,12.521546961325958,member
classic_bike,LF-005,2665,6,17.54484052532835,member
classic_bike,TA1308000050,2623,8,12.813191002668718,member
classic_bike,13008,2614,6,40.027926549349544,casual
classic_bike,13042,2607,9,35.331031837360968,casual
classic_bike,TA1307000039,2571,7,12.741345779852194,member
classic_bike,TA1308000050,2554,7,11.990602975724348,member
docked_bike,13022,2550,5,45.845490196078543,casual
classic_bike,TA1308000001,2534,8,19.337805840568269,member
classic_bike,TA1308000050,2521,8,18.625148750495807,casual
classic_bike,13022,2472,10,32.635922330097038,casual
classic_bike,KA1503000071,2430,10,7.3362139917695339,member
classic_bike,13022,2400,8,20.779166666666672,member
classic_bike,TA1308000050,2387,7,20.355676581483085,casual
classic_bike,13300,2375,5,36.984842105263077,casual
classic_bike,TA1308000050,2368,9,11.961570945945926,member
classic_bike,TA1308000050,2344,6,12.508959044368591,member
classic_bike,TA1307000039,2335,8,12.089507494646694,member
classic_bike,LF-005,2330,9,17.13991416309014,member
classic_bike,13022,2318,7,21.443054357204481,member
classic_bike,13008,2315,9,37.822894168466604,casual
classic_bike,13300,2304,9,37.01128472222225,casual
classic_bike,13179,2292,7,20.597731239092489,casual
classic_bike,TA1307000039,2258,9,11.701062887511062,member
classic_bike,15544,2257,7,31.286663712893152,casual
classic_bike,KA1503000043,2229,8,9.7483176312247668,member
classic_bike,KA1504000135,2227,7,11.206555904804686,member
classic_bike,KA1503000043,2200,6,10.469545454545436,member
classic_bike,TA1308000001,2170,7,20.226728110599066,member
classic_bike,13137,2164,8,12.548983364140478,member
classic_bike,KA1504000135,2158,8,10.88693234476365,member
classic_bike,KA1504000135,2150,8,16.220000000000006,casual
classic_bike,13008,2144,5,43.588619402985081,casual
classic_bike,15544,2136,8,31.874531835206014,casual
classic_bike,13022,2123,6,21.90626471973626,member
classic_bike,TA1308000001,2109,6,29.071123755334277,casual
classic_bike,KA1503000043,2108,7,9.7628083491461037,member
classic_bike,KA1503000014,2078,11,5.681905678537051,member
classic_bike,TA1308000050,2077,9,17.202214732787716,casual
docked_bike,13022,2071,9,44.430226943505616,casual
classic_bike,KA1504000135,2060,7,16.448058252427206,casual
classic_bike,TA1308000001,2058,6,20.63168124392616,member
classic_bike,KA1504000135,2048,9,10.647460937500018,member
classic_bike,KA1503000043,2038,9,9.4160942100098151,member
classic_bike,13146,2026,7,21.23790720631786,casual
classic_bike,TA1308000050,2019,6,19.890044576523035,casual
classic_bike,KA1504000135,2008,6,10.909362549800813,member
classic_bike,TA1307000117,1998,7,28.699699699699718,casual
classic_bike,13179,1994,8,20.588264794383111,casual
electric_bike,13022,1991,7,33.442993470617793,casual
docked_bike,13300,1989,7,48.266968325791893,casual
classic_bike,TA1307000039,1974,7,19.149442755825739,casual
electric_bike,13022,1964,6,33.167006109979596,casual
classic_bike,13179,1957,6,14.16964741951967,member
classic_bike,13042,1957,7,19.742973939703603,member
classic_bike,TA1307000039,1955,10,10.874680306905372,member
classic_bike,13137,1937,9,12.760454310789884,member
classic_bike,13042,1937,8,19.573567372225106,member
classic_bike,13179,1931,8,12.834282755049202,member
classic_bike,TA1308000001,1929,9,20.398652151373781,member
classic_bike,13179,1918,7,13.176746611053176,member
classic_bike,13045,1895,8,11.464379947229547,member
classic_bike,13137,1895,7,13.078100263852242,member
classic_bike,13179,1880,6,22.324468085106382,casual
classic_bike,13146,1873,8,12.898558462359846,member
classic_bike,13146,1871,7,13.625868519508288,member
classic_bike,TA1308000001,1865,9,27.969436997319033,casual
classic_bike,KA1503000071,1863,11,6.6725711218464863,member
classic_bike,13016,1859,8,13.975255513717055,member
classic_bike,KA1503000043,1856,10,9.08782327586207,member
classic_bike,13146,1847,8,22.54520844612885,casual
classic_bike,13022,1830,9,20.692349726775976,member
classic_bike,KA1504000076,1828,10,6.6006564551422295,member
classic_bike,13042,1823,6,20.795392210641804,member
docked_bike,13008,1821,7,54.776496430532724,casual
classic_bike,13146,1808,9,12.178650442477871,member
classic_bike,TA1306000012,1805,8,9.3479224376731143,member
electric_bike,13022,1797,8,32.59321090706738,casual
classic_bike,TA1307000039,1796,8,20.180400890868629,casual
classic_bike,13042,1785,5,38.996638655462178,casual
classic_bike,13146,1774,6,13.091882750845558,member
classic_bike,13137,1762,6,13.905221339387071,member
classic_bike,TA1307000117,1759,7,13.467879476975556,member
classic_bike,TA1306000012,1757,9,9.4729652817302412,member
classic_bike,13332,1752,9,8.58219178082194,member
classic_bike,13016,1748,9,13.282608695652176,member
classic_bike,TA1307000039,1747,5,12.133371493989722,member
classic_bike,13016,1746,7,14.884879725085911,member
classic_bike,13045,1741,7,11.687535898908665,member
docked_bike,13300,1737,6,51.108232584916479,casual
classic_bike,13045,1736,6,11.213133640552995,member
classic_bike,TA1306000012,1729,6,10.270098322729883,member
classic_bike,13179,1720,9,19.51686046511627,casual
classic_bike,TA1307000134,1720,7,12.380813953488358,member
classic_bike,KA1504000135,1718,9,15.483119906868472,casual
classic_bike,TA1307000041,1718,8,17.818975552968588,member
classic_bike,LF-005,1712,5,29.310747663551439,casual
classic_bike,SL-005,1712,7,30.922313084112151,casual
classic_bike,13193,1706,7,17.719812426729217,casual
classic_bike,13193,1700,7,11.927058823529403,member
